root_id,root,canonical_pattern,aliases,scope,root_type,demand_category,primary_intent,applicable_domains,example_keywords,status,evidence_level,validation_basis,evidence_ref,source_name,source_url,added_at,last_verified_at,notes
root-example,example,x example,,universal,resource_pattern,resource,informational,all,resume example; code example,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-guide,guide,x guide,,universal,resource_pattern,resource,informational,all,sourdough guide; japan travel guide,active,L1,Exact member of published 122-root expansion list | Included in 122 expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list | Root Library v1 curation,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,Published-list inclusion establishes provenance only; downstream demand remains unvalidated.
root-pattern,pattern,x pattern,,universal,resource_pattern,resource,informational,all,regex pattern; knitting pattern,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-review,review,x review,,universal,resource_pattern,resource,informational,all,semrush review; perfume review,active,L1,Exact member of published 122-root expansion list | Included in 122 expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list | Root Library v1 curation,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,Published-list inclusion establishes provenance only; downstream demand remains unvalidated.
root-sample,sample,x sample,,universal,resource_pattern,resource,informational,all,resume sample; writing sample,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-scheme,scheme,x scheme,,universal,resource_pattern,resource,informational,all,color scheme; pension scheme,active,L1,Exact member of Gefei 51 published tool-root list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,Gefei 51 tool roots (original + public mirror),https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-template,template,x template,,universal,resource_pattern,resource,informational,all,invoice template; itinerary template,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-simulator,simulator,x simulator,,universal,functional_suffix,simulate,tool,all,loan simulator; flight simulator,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-best-time-to-visit,best time to visit,best time to visit x,,universal,decision_pattern,time,informational,travel,best time to visit japan; best time to visit hawaii,verified,L2,Observed recurring demand family in Semrush US batch (27 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#best-time-to-visit,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-connector,connector,x connector,,universal,functional_suffix,transfer,tool,all,data connector; api connector,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-downloader,downloader,x downloader,,universal,functional_suffix,transfer,tool,all,video downloader; image downloader,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-receiver,receiver,x receiver,,universal,functional_suffix,transfer,tool,all,bluetooth receiver; message receiver,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-responder,responder,x responder,,universal,functional_suffix,transfer,tool,all,email responder; auto responder,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-sender,sender,x sender,,universal,functional_suffix,transfer,tool,all,email sender; sms sender,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-syncer,syncer,x syncer,,universal,functional_suffix,transfer,tool,all,file syncer; calendar syncer,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-uploader,uploader,x uploader,,universal,functional_suffix,transfer,tool,all,image uploader; file uploader,active,L1,Exact member of Gefei 51 published tool-root list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,Gefei 51 tool roots (original + public mirror),https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-convert,convert,x convert,,universal,functional_suffix,transform,tool,all,pdf to word convert; currency convert,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-converter,converter,x converter,conversion,universal,functional_suffix,transform,tool,all,currency converter; unit converter,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-editor,editor,x editor,,universal,functional_suffix,transform,tool,all,photo editor; text editor,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-format,format,x format,,universal,functional_suffix,transform,tool,all,date format; citation format,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-processor,processor,x processor,,universal,functional_suffix,transform,tool,all,image processor; text processor,active,L1,Exact member of Gefei 51 published tool-root list | Exact member of published 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,Gefei 51 tool roots (original + public mirror) | 122-root expansion list,https://www.wangmingchang.com/51-ge-ci-gen-biao-ge-zheng-li-ban | https://mp.weixin.qq.com/s/pFi683ZoT_WJXO_t770vSQ | https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Verified here means accepted as a root asset, not that every root×domain combination is an SEO opportunity. | Published-list inclusion establishes provenance only; downstream demand remains unvalidated."
root-interpretation,interpretation,x interpretation,,universal,informational_pattern,understand,informational,culture;dreams;data;law,dream interpretation; data interpretation,verified,L2,Observed recurring demand family in Semrush US batch (26 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#interpretation,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-meaning,meaning,x meaning,,universal,informational_pattern,understand,informational,all,dream meaning; name meaning; spiritual meaning,verified,L2,Observed recurring demand family in Semrush US batch (147 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#meaning,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-name-meaning,name meaning,x name meaning,,universal,identity_pattern,understand,informational,names;genealogy,olivia name meaning; name meaning,verified,L2,Observed recurring demand family in Semrush US batch (20 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#name-meaning,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-surname-origin,surname origin,x surname origin,,universal,identity_pattern,understand,informational,genealogy;names,smith surname origin; surname origin,verified,L2,Observed recurring demand family in Semrush US batch (19 matching unique keywords).,references/semrush-interest-scan-2026-08-22.md#surname-origin,Semrush US interest-domain scan 2026-08-22,,2026-08-22,2026-08-22,
root-solver,solver,x solver,,universal,functional_suffix,analyze,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-tester,tester,x tester,,universal,functional_suffix,analyze,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-counter,counter,x counter,,universal,functional_suffix,calculate,tool,text;time;fitness,word counter; calorie counter,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-estimate,estimate,x estimate,,universal,calculation_pattern,calculate,tool,construction;finance;travel;services,cost estimate; tax estimate,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-estimator,estimator,x estimator,,universal,functional_suffix,calculate,tool,construction;finance;travel;services,cost estimator; retirement estimator,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-validator,validator,x validator,,universal,functional_suffix,check,tool,developer;documents;finance,json validator; email validator,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-alternatives,alternatives,x alternatives,,universal,comparison_pattern,compare,commercial,software;products;services,canva alternatives; paypal alternatives,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-comparison,comparison,x comparison,,universal,comparison_pattern,compare,commercial,all,breed comparison; loan comparison,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-reviews,reviews,x reviews,,universal,decision_pattern,compare,commercial,products;software;services;travel,hotel reviews; software reviews,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-top,top,top x,,universal,decision_pattern,compare,commercial,all,top resume builders; top travel apps,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-vs,vs,x vs y,,universal,comparison_pattern,compare,commercial,all,kyoto vs osaka; roth vs traditional ira,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-composer,composer,x composer,,universal,functional_suffix,create,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-starter,starter,x starter,,universal,functional_suffix,create,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-pros-and-cons,pros and cons,x pros and cons,,universal,comparison_pattern,decide,informational,all,solar pros and cons; remote work pros and cons,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-recommend,recommend,x recommend,recommender; recommendation,universal,decision_pattern,decide,commercial,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-worth-it,worth it,is x worth it,,universal,decision_pattern,decide,commercial,products;travel;education;services,travel pass worth it; course worth it,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-crawler,crawler,x crawler,,universal,functional_suffix,discover,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-finder,finder,x finder,find,universal,functional_suffix,discover,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-interactive-map,interactive map,x interactive map,,universal,resource_pattern,discover,tool,travel;gaming;astronomy,game interactive map; destination interactive map,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-map,map,x map,,universal,resource_pattern,discover,tool,travel;gaming;astronomy;local,interactive map; night sky map,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-portal,portal,x portal,,universal,functional_suffix,discover,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-things-to-do,things to do,things to do in x,,universal,discovery_pattern,discover,commercial,travel;local,things to do in osaka; things to do near me,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-randomizer,randomizer,x randomizer,,universal,functional_suffix,generate,tool,games;education;decision,name randomizer; team randomizer,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-identifier,identifier,x identifier,,universal,functional_suffix,identify,tool,plants;animals;music;objects,plant identifier; bird identifier,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-type,type,x type,,universal,identity_pattern,identify,informational,personality;products;biology,personality type; skin type,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-flashcards,flashcards,x flashcards,,universal,resource_format,learn,resource,education;language;medicine,spanish flashcards; anatomy flashcards,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-formula,formula,x formula,,universal,knowledge_pattern,learn,informational,education;finance;science,compound interest formula; bmi formula,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-practice,practice,x practice,,universal,learning_pattern,learn,informational,education;language;music;certification,math practice; spanish practice,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-practice-test,practice test,x practice test,,universal,learning_pattern,learn,informational,education;certification;driving,sat practice test; pmp practice test,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-quiz,quiz,x quiz,,universal,interactive_pattern,learn,tool,education;relationships;entertainment,personality quiz; geography quiz,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-recipe,recipe,x recipe,,universal,content_pattern,learn,informational,food;baking;drinks,sourdough recipe; cold brew recipe,verified,L2,Observed as a stable recurring content-demand family across major baking/fermentation recipe resources.,references/baking-fermentation-demand-evidence-2026-08-22.md#recipe,Root Library internal hypothesis | Baking/Fermentation SERP & site research 2026-08-22,https://www.kingarthurbaking.com/recipes/sourdough-starter-recipe | https://breadtopia.com/sourdough-no-knead-bread/,2026-08-22,2026-08-22,L2 evidence here validates food/baking usage; it does not validate every possible recipe combination.
root-tips,tips,x tips,,universal,informational_pattern,learn,informational,all,packing tips; interview tips,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-tutorial,tutorial,x tutorial,,universal,informational_pattern,learn,informational,all,excel tutorial; guitar chord tutorial,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-worksheet,worksheet,x worksheet,,universal,resource_format,learn,resource,education;finance;therapy,fraction worksheet; budgeting worksheet,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-near-me,near me,x near me,,universal,local_pattern,location,commercial,local_services;travel;retail,coffee near me; notary near me,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-where-to-stay,where to stay,where to stay in x,,universal,decision_pattern,location,commercial,travel,where to stay in tokyo; where to stay in rome,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-database,database,x database,,universal,resource_pattern,lookup,resource,all,perfume database; item database,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-lookup,lookup,x lookup,,universal,functional_suffix,lookup,tool,finance;legal;reference;crypto,bitcoin address lookup; license lookup,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-advisor,advisor,x advisor,,universal,functional_suffix,manage,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-agent,agent,x agent,,universal,functional_suffix,manage,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-helper,helper,x helper,,universal,functional_suffix,manage,tool,all,,candidate,L1,Exact member of published 122-root expansion list,https://developer.cloud.tencent.com/article/2629255,122-root expansion list,https://developer.cloud.tencent.com/article/2629255,2026-08-22,,"Published-list provenance exists, but natural-query examples/evidence are insufficient for routine reuse."
root-x-to-y,x to y,x to y,,universal,route_pattern,navigate,mixed,travel;transport;conversion,tokyo to kyoto; usd to eur,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-budget,budget,x budget,,universal,planning_pattern,plan,mixed,travel;wedding;finance;household,travel budget; wedding budget,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
root-calendar,calendar,x calendar,,universal,planning_pattern,plan,resource,events;education;finance;family,meteor shower calendar; content calendar,candidate,L0,"Internal root hypothesis; requires published-source, keyword-tool, SERP, site-keyword, or monetization evidence before promotion.",,Root Library internal hypothesis,,2026-08-22,,
